ticker,date,candidate,is_selected,fill_time,signal_data_cutoff,reference_price,from_position,to_position,turnover,cost_fraction_of_day_start_equity,slippage_bps_per_side,commission_bps_per_side
MSTR,2026-09-01,trend_3,False,2026-09-01T12:00:00-04:00,2026-09-01T12:00:00-04:00,127.77100372314453,1.0,-1.0,2.0,0.001002181720354071,5.0,0.0
MSTR,2026-09-01,trend_3,False,2026-09-01T12:40:00-04:00,2026-09-01T12:40:00-04:00,126.58000183105469,-1.0,1.0,2.0,0.0010105263599773284,5.0,0.0
MSTR,2026-09-01,trend_3,False,2026-09-01T12:45:00-04:00,2026-09-01T12:45:00-04:00,126.08999633789062,1.0,-1.0,2.0,0.001005607883729905,5.0,0.0
MSTR,2026-09-01,trend_3,False,2026-09-01T13:00:00-04:00,2026-09-01T13:00:00-04:00,126.28500366210938,-1.0,1.0,2.0,0.0010030483060141692,5.0,0.0
MSTR,2026-09-01,trend_3,False,2026-09-01T13:15:00-04:00,2026-09-01T13:15:00-04:00,126.08000183105469,1.0,-1.0,2.0,0.0010004186107851404,5.0,0.0
MSTR,2026-09-01,trend_3,False,2026-09-01T13:35:00-04:00,2026-09-01T13:35:00-04:00,126.33999633789062,-1.0,1.0,2.0,0.000997347552096586,5.0,0.0
MSTR,2026-09-01,trend_3,False,2026-09-01T13:50:00-04:00,2026-09-01T13:50:00-04:00,125.71499633789062,1.0,-1.0,2.0,0.0009914212913270562,5.0,0.0
MSTR,2026-09-01,trend_3,False,2026-09-01T14:15:00-04:00,2026-09-01T14:15:00-04:00,125.08000183105469,-1.0,1.0,2.0,0.0009954398361210883,5.0,0.0
MSTR,2026-09-01,trend_3,False,2026-09-01T14:20:00-04:00,2026-09-01T14:20:00-04:00,124.88999938964844,1.0,-1.0,2.0,0.0009929337881911802,5.0,0.0
MSTR,2026-09-01,trend_3,False,2026-09-01T14:55:00-04:00,2026-09-01T14:55:00-04:00,124.95999908447266,-1.0,1.0,2.0,0.0009913330974790889,5.0,0.0
MSTR,2026-09-01,trend_3,False,2026-09-01T15:20:00-04:00,2026-09-01T15:20:00-04:00,125.69999694824219,1.0,-1.0,2.0,0.000996206447443497,5.0,0.0
MSTR,2026-09-01,trend_3,False,2026-09-01T15:25:00-04:00,2026-09-01T15:25:00-04:00,125.61000061035156,-1.0,1.0,2.0,0.0009959227730509093,5.0,0.0
MSTR,2026-09-01,trend_3,False,2026-09-01T15:50:00-04:00,2026-09-01T15:50:00-04:00,125.87000274658203,1.0,-1.0,2.0,0.0009969862651748281,5.0,0.0
MSTR,2026-09-01,trend_3,False,2026-09-01T16:00:00-04:00,,124.91000366210938,-1.0,0.0,1.0,0.0005018008974059831,5.0,0.0
MSTR,2026-09-01,trend_12,False,2026-09-01T10:35:00-04:00,2026-09-01T10:35:00-04:00,129.0699005126953,0.0,1.0,1.0,0.0005,5.0,0.0
