symbol,feed,horizon,model,split,rows,mse_bps2,rmse_bps,mae_bps,mean_error_bps,ic,rank_ic,target_zero_fraction,forecast_zero_fraction,directional_rows,direction_accuracy_nonzero,forecast_direction_coverage,sign_match_including_zeros,predicted_abs_bps_p50,target_abs_bps_p50
TSLA,iex,5min,l1_ridge,2026-09-11_intraday,767,463.2074029830063,21.522253668772848,17.05575822467808,6.833465018113813,0.0029103324450295287,0.05033323512313556,0.01564537157757497,0.0,755,0.5165562913907285,1.0,0.5084745762711864,8.444168577712777,10.971679352671515
TSLA,iex,5min,past_mid_plus_l1_ridge,2026-09-11_intraday,767,375.28124727945504,19.372177143508033,15.468315501537635,3.192129253808677,0.3537688142737764,0.3496681094489275,0.01564537157757497,0.0,755,0.6370860927152318,1.0,0.6271186440677966,8.685597425257859,10.971679352671515
PLTR,iex,1s,zero,2026-09-11_intraday,1029,507.39680599240415,22.52547016140627,14.312614698432562,0.32370632343839645,,,0.2653061224489796,1.0,0,,0.0,0.2653061224489796,0.0,5.081604591379296
PLTR,iex,1s,past_mid_ridge,2026-09-11_intraday,1029,446.3281720447849,21.126480351558442,14.969852397548568,2.5931902143181356,0.37445350211165657,0.3209493679519913,0.2653061224489796,0.0,756,0.58994708994709,1.0,0.4334305150631681,2.0496427262293255,5.081604591379296
PLTR,iex,1s,qi_ridge,2026-09-11_intraday,1029,506.4524320725639,22.504498040893157,15.658929740569684,2.081988110514145,0.14609406370606812,0.1715434481945936,0.2653061224489796,0.0,756,0.541005291005291,1.0,0.3974732750242954,1.7925140961737427,5.081604591379296
PLTR,iex,1s,l1_ridge,2026-09-11_intraday,1029,630.8690559269995,25.11710683830842,19.052988126531783,5.696283763290929,0.1312665398494411,0.1092508032065713,0.2653061224489796,0.0,756,0.5396825396825397,1.0,0.3965014577259475,6.245721560035279,5.081604591379296
PLTR,iex,1s,past_mid_plus_l1_ridge,2026-09-11_intraday,1029,485.2466015557945,22.028313633952884,16.502148057237783,3.9897777522865527,0.35158688304428487,0.3200922552994656,0.2653061224489796,0.0,756,0.6164021164021164,1.0,0.45286686103012636,4.459183368244858,5.081604591379296
PLTR,iex,5s,zero,2026-09-11_intraday,942,600.3937452978746,24.502933401898527,16.399032022645837,1.3376044832529361,,,0.13694267515923567,1.0,0,,0.0,0.13694267515923567,0.0,10.744826185825062
PLTR,iex,5s,past_mid_ridge,2026-09-11_intraday,942,485.15271814976336,22.02618255962125,15.98167982656026,2.275276572181562,0.44525591988491847,0.3777990912265505,0.13694267515923567,0.0,813,0.6063960639606396,1.0,0.5233545647558386,1.6462813236030274,10.744826185825062
PLTR,iex,5s,qi_ridge,2026-09-11_intraday,942,709.1550371548494,26.629965023537853,19.140745557046042,2.014601158381741,0.11301412599741925,0.11127472058207989,0.13694267515923567,0.0,813,0.5313653136531366,1.0,0.4585987261146497,0.4273046919356813,10.744826185825062
PLTR,iex,5s,l1_ridge,2026-09-11_intraday,942,905.5937911526114,30.09308543756541,22.501099012507925,5.007217462617556,0.10044322752317822,-0.0026590136775763765,0.13694267515923567,0.0,813,0.5104551045510455,1.0,0.440552016985138,3.6558650097799763,10.744826185825062
PLTR,iex,5s,past_mid_plus_l1_ridge,2026-09-11_intraday,942,674.1008822900874,25.963452819108774,20.220718817827557,2.9112317818542843,0.32580801702882556,0.2919446493809179,0.13694267515923567,0.0,813,0.5879458794587946,1.0,0.5074309978768577,9.332145420299526,10.744826185825062
PLTR,iex,30s,zero,2026-09-11_intraday,905,679.9332220049596,26.07552917976852,18.310439700512962,1.3472420327806012,,,0.027624309392265192,1.0,0,,0.0,0.027624309392265192,0.0,14.007271860282389
PLTR,iex,30s,past_mid_ridge,2026-09-11_intraday,905,560.7512708812164,23.68018730671733,17.64069841773002,2.6974394740829095,0.4295336480383199,0.3799193636714579,0.027624309392265192,0.0,880,0.6147727272727272,1.0,0.5977900552486188,4.155558288598353,14.007271860282389
PLTR,iex,30s,qi_ridge,2026-09-11_intraday,905,683.2761684428658,26.139551802639346,18.956978954534176,1.3213636613306587,0.13980431409897795,0.13263229380599278,0.027624309392265192,0.0,880,0.5340909090909091,1.0,0.5193370165745856,0.2846220133142326,14.007271860282389
PLTR,iex,30s,l1_ridge,2026-09-11_intraday,905,878.9412816360278,29.646943883578082,22.11445374777764,2.5363540753195983,0.13888676928734994,0.17510298871242397,0.027624309392265192,0.0,880,0.5738636363636364,1.0,0.5580110497237569,0.8658384248184603,14.007271860282389
PLTR,iex,30s,past_mid_plus_l1_ridge,2026-09-11_intraday,905,592.6217802022172,24.343824272332753,18.524421508220613,2.065516310693042,0.3955090493694729,0.35907781162427915,0.027624309392265192,0.0,880,0.5977272727272728,1.0,0.5812154696132596,8.508235099872632,14.007271860282389
PLTR,iex,1min,zero,2026-09-11_intraday,887,688.4032037556534,26.2374389709753,18.347433500661438,1.3970515058698376,,,0.014656144306651634,1.0,0,,0.0,0.014656144306651634,0.0,12.54255509765323
PLTR,iex,1min,past_mid_ridge,2026-09-11_intraday,887,577.5975753106201,24.03325977287767,17.656749280202817,1.785368877863288,0.4079619502850622,0.36396364973771683,0.014656144306651634,0.0,874,0.5938215102974829,1.0,0.5851183765501691,4.374470950691742,12.54255509765323
PLTR,iex,1min,qi_ridge,2026-09-11_intraday,887,682.8440492635096,26.131284875863063,18.636745154928633,2.0558527642991957,0.1530506944012803,0.13698705323805185,0.014656144306651634,0.0,874,0.5205949656750573,1.0,0.5129650507328072,0.8217906031094646,12.54255509765323
PLTR,iex,1min,l1_ridge,2026-09-11_intraday,887,777.2552251932937,27.879297430051814,20.501361827946823,-0.0030235754769763878,0.1483698188346743,0.1595753193936899,0.014656144306651634,0.0,874,0.5640732265446224,1.0,0.5558060879368658,3.654133153017608,12.54255509765323
PLTR,iex,1min,past_mid_plus_l1_ridge,2026-09-11_intraday,887,604.8503711226274,24.593705924944036,18.42247041095296,0.3954913572816376,0.3685711143032701,0.3470860256531754,0.014656144306651634,0.0,874,0.6052631578947368,1.0,0.5963923337091319,7.521170824337448,12.54255509765323
PLTR,iex,5min,zero,2026-09-11_intraday,856,892.7868028485728,29.879538196708676,22.559526628930342,1.956597395828546,,,0.002336448598130841,1.0,0,,0.0,0.002336448598130841,0.0,18.828733585239952
PLTR,iex,5min,past_mid_ridge,2026-09-11_intraday,856,782.672739139283,27.976288873603,21.93852551311362,-3.4326245928459613,0.3644645619307142,0.3185593973576847,0.002336448598130841,0.0,854,0.5550351288056206,1.0,0.5537383177570093,7.376269488901122,18.828733585239952
PLTR,iex,5min,qi_ridge,2026-09-11_intraday,856,1125.827523542136,33.5533533874356,25.244706131295192,-0.7188570033004344,-0.14462292975316424,-0.11969427992092133,0.002336448598130841,0.0,854,0.45784543325526933,1.0,0.4567757009345794,2.609673207725463,18.828733585239952
PLTR,iex,5min,l1_ridge,2026-09-11_intraday,856,960.020677845982,30.98420045516718,23.56131640473649,-0.03575902615063444,-0.07097911533852606,-0.042609604468541944,0.002336448598130841,0.0,854,0.4765807962529274,1.0,0.47546728971962615,3.3673259125429253,18.828733585239952
PLTR,iex,5min,past_mid_plus_l1_ridge,2026-09-11_intraday,856,936.946393541264,30.609580094167644,23.92082941834397,-2.86702726356874,0.17446578627435935,0.14394102381994112,0.002336448598130841,0.0,854,0.509367681498829,1.0,0.508177570093458,8.181245238635531,18.828733585239952
NVDA,iex,1s,zero,2026-09-11_intraday,2680,3.6162627844697353,1.9016473869962685,0.7898895561392972,0.06378275090563555,,,0.2675373134328358,1.0,0,,0.0,0.2675373134328358,0.0,0.22876228170432
NVDA,iex,1s,past_mid_ridge,2026-09-11_intraday,2680,3.1896859452756856,1.7859691893410943,0.8265654176695671,-0.010933839543540989,0.35848763024693014,0.24121524072991432,0.2675373134328358,0.0,1963,0.6021395822720326,1.0,0.44104477611940296,0.1705858915600174,0.22876228170432
NVDA,iex,1s,qi_ridge,2026-09-11_intraday,2680,4.032282814424463,2.008054484924267,1.0532185685568365,0.04735036600067872,0.001933630647915247,0.018238152561096618,0.2675373134328358,0.0,1963,0.5247070809984717,1.0,0.3843283582089552,0.7536407663859293,0.22876228170432
NVDA,iex,1s,l1_ridge,2026-09-11_intraday,2680,4.39235690953392,2.095795054277474,0.9540100157225697,0.2961753370377328,-0.3045477577830786,-0.07440828325219573,0.2675373134328358,0.0,1963,0.45491594498217014,1.0,0.3332089552238806,0.2646687588231494,0.22876228170432
NVDA,iex,1s,past_mid_plus_l1_ridge,2026-09-11_intraday,2680,3.4342853321992317,1.8531824875600438,0.8636876491801435,0.12870223066887684,0.2819040500068763,0.19821061538000218,0.2675373134328358,0.0,1963,0.5827814569536424,1.0,0.42686567164179107,0.23135279850573773,0.22876228170432
NVDA,iex,5s,zero,2026-09-11_intraday,2675,5.488622744585124,2.3427809851936914,1.2269671634535426,0.04221017615379763,,,0.10392523364485981,1.0,0,,0.0,0.10392523364485981,0.0,0.6845251677078945
NVDA,iex,5s,past_mid_ridge,2026-09-11_intraday,2675,5.200579156867967,2.2804778352064656,1.3424148760000925,-0.3731468758923588,0.3259285548585646,0.16628802760816766,0.10392523364485981,0.0,2397,0.5556946182728411,1.0,0.49794392523364484,0.5294441495861805,0.6845251677078945
NVDA,iex,5s,qi_ridge,2026-09-11_intraday,2675,6.383798463330885,2.526617989196405,1.514782815203902,-0.3397436317798808,-0.009623276779545177,-0.005261997117764525,0.10392523364485981,0.0,2397,0.4977054651647893,1.0,0.44598130841121497,0.6477610096476769,0.6845251677078945
NVDA,iex,5s,l1_ridge,2026-09-11_intraday,2675,6.110526516948568,2.471947919546156,1.2722519585039933,0.06124912540151837,-0.3156968078686521,-0.0828751881742024,0.10392523364485981,0.0,2397,0.4826866916979558,1.0,0.43252336448598133,0.07594868198197216,0.6845251677078945
NVDA,iex,5s,past_mid_plus_l1_ridge,2026-09-11_intraday,2675,5.2141396473227015,2.283449068256768,1.2935729330144456,-0.18149197711048556,0.28224108184728175,0.1540630350421167,0.10392523364485981,0.0,2397,0.5544430538172715,1.0,0.4968224299065421,0.3584952160024739,0.6845251677078945
NVDA,iex,30s,zero,2026-09-11_intraday,2674,12.84854942389056,3.5844873306918745,2.4078139905018237,0.16629676780713157,,,0.032535527299925204,1.0,0,,0.0,0.032535527299925204,0.0,1.5973894095155927
NVDA,iex,30s,past_mid_ridge,2026-09-11_intraday,2674,12.468571332570585,3.5310864238319892,2.4604264042859043,-0.27028803892852155,0.21179822971040682,0.0767619451453424,0.032535527299925204,0.0,2587,0.5272516428295323,1.0,0.5100972326103216,0.6179572323284777,1.5973894095155927
NVDA,iex,30s,qi_ridge,2026-09-11_intraday,2674,14.177978435061975,3.7653656442717454,2.578105325073523,-0.2254817325349494,-0.018858729058968578,-0.0014781937214890688,0.032535527299925204,0.0,2587,0.5183610359489756,1.0,0.5014958863126402,0.8882872670870685,1.5973894095155927
NVDA,iex,30s,l1_ridge,2026-09-11_intraday,2674,13.81430679774674,3.716760255618694,2.466225081368631,0.16877470061831604,-0.2004314071899038,-0.05520139269938328,0.032535527299925204,0.0,2587,0.4843448009277155,1.0,0.468586387434555,0.19992732591191623,1.5973894095155927
